d,w
51,33
51,42
51,114
51,98
51,20
51,19
51,18
51,67
51,14
51,140
51,154
51,21
51,133
51,55
51,178
51,34
51,44
51,161
51,132
51,143
52,18
52,19
52,21
52,22
52,23
52,98
52,55
52,28
52,42
52,45
52,46
52,51
52,16
52,14
52,100
52,154
52,169
52,140
52,164
52,172
52,170
52,143
53,53
53,6
53,115
53,54
53,116
53,14
53,16
53,17
53,19
53,20
53,23
53,98
53,55
53,52
53,50
53,2
53,48
53,63
53,28
53,4
53,146
53,5
53,49
53,42
54,34
54,44
54,102
54,103
54,104
54,35
54,109
54,71
54,30
54,152
54,32
54,26
54,25
54,33
54,23
54,22
54,21
54,19
54,18
54,17
54,129
54,149
54,15
54,68
54,137
54,31
54,99
54,84
54,156
54,69
54,24
54,98
54,55
54,42
54,210
54,64
54,80
54,215
54,100
54,95
54,96
54,97
54,54
54,59
54,49
54,50
54,52
54,53
54,66
54,16
54,27
54,20
54,51
54,46
54,45
54,48
54,144
54,255
54,128
55,103
55,33
55,104
55,129
55,102
55,137
55,118
55,55
55,26
55,25
55,98
55,34
55,24
55,21
55,20
55,18
55,16
55,68
55,15
55,14
55,44
55,100
55,53
55,22
55,139
55,52
55,109
55,194
55,41
55,99
55,45
55,46
55,51
55,35
56,23
56,25
56,48
56,53
56,52
56,49
56,50
56,22
56,79
56,14
56,63
56,21
56,34
56,151
56,200
56,32
56,31
56,30
56,114
56,98
56,17
56,19
56,20
56,24
56,42
56,16
56,18
57,42
57,69
57,22
57,21
57,20
57,19
57,18
57,23
57,98
57,55
57,16
57,14
57,206
57,25
57,24
58,256
58,117
58,14
58,50
58,15
58,16
58,18
58,19
58,20
58,21
58,283
58,145
58,53
58,52
58,22
58,54
58,13
58,253
58,30
58,206
58,215
58,81
58,80
58,77
58,172
58,76
58,170
58,73
58,164
58,96
58,72
58,93
58,91
58,69
58,89
58,87
58,85
58,35
58,45
58,46
58,51
58,17
58,44
58,125
58,83
58,82
58,78
58,32
58,31
58,88
58,24
58,66
58,25
58,86
58,90
58,92
58,84
58,95
58,182
58,97
58,7
58,9
58,10
58,11
58,8
58,42
58,41
58,98
58,26
58,124
58,27
58,55
58,49
58,34
59,286
59,17
59,22
59,124
59,48
59,66
59,49
59,285
59,21
59,284
59,55
59,144
59,71
59,104
59,34
59,150
59,45
59,16
59,19
59,69
59,25
59,35
59,44
59,117
59,46
59,98
59,63
59,53
59,52
59,50
59,109
59,51
59,8
59,79
59,10
59,18
59,15
59,11
59,174
59,59
60,12
60,53
60,52
60,50
60,62
60,45
60,33
60,46
60,51
60,15
60,68
60,24
60,98
60,55
60,16
60,19
60,49
60,21
60,22
60,69
60,38
60,25
60,18
61,35
61,147
61,7
61,8
61,11
61,60
61,34
61,264
61,250
61,248
61,70
61,249
61,226
61,49
61,50
61,52
61,126
61,47
61,53
61,42
61,55
61,98
61,22
61,21
61,25
61,16
61,14
61,156
61,51
61,46
61,20
61,45
62,69
62,23
62,98
62,25
62,70
62,75
62,22
62,44
62,55
62,21
62,156
62,19
62,18
62,17
62,16
62,15
62,14
62,54
62,63
62,145
62,58
62,20
62,33
62,11
62,200
62,38
62,253
62,49
62,50
62,52
62,255
62,79
62,8
62,174
62,10
62,53
62,26
63,120
63,202
63,276
63,119
63,30
63,16
63,98
63,47
63,32
63,121
63,31
63,149
63,243
63,129
63,148
63,237
63,238
63,46
63,14
63,15
63,68
63,280
63,45
63,51
63,296
63,34
63,109
63,71
63,278
63,279
63,42
63,33
63,18
63,21
63,22
63,69
63,23
63,24
63,25
63,19
63,282
63,114
63,295
63,122
63,144
63,125
63,152
64,15
64,124
64,38
64,35
64,55
64,70
64,75
64,42
64,256
64,45
64,46
64,24
64,22
64,21
64,19
64,51
64,16
64,54
64,17
64,18
65,46
65,16
65,68
65,15
65,47
65,79
65,52
65,50
65,49
65,100
65,151
65,24
65,163
65,51
65,22
65,21
65,17
65,18
